part_id_std,part_id_raw,Item Description,Supplier Name,Supplier PN,PSW,PSW Type,PSW Sub Type,YPN Status,Handling Manual,FAR Status,PPAP Details,psw_ok,has_handling_manual,far_ok
70392346,70392346,Shrink Tube 7.5Mm L:27Mm,Te Connectivity Emea,RBK-ILS-125-NR2-0-27MM,RBK-ILS-125-NR2-0-27MM,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
70471664,70471664,Connector Clip,Yel-Bl,7047-1664,,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,False,True,False
70472656,70472656,Tape Clip,Hellermanntyton - Germany,151-00650,,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,False,True,False
70521059,70521059,Tape Clip,Hellermanntyton - Germany,151-00932,Hellermann Collective PSW - 62416,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
70521161,70521161,Tape Clip,A. Raymond Czech Republic,213369000,213369000,PSW,PPAP LEVEL 1,Common,OK,To Be Requested,OK,True,True,False
70521491,70521491,Tape Clip,Hellermanntyton - Germany,151-01805,151-01805,PSW,PPAP LEVEL 4,Common,OK,To Be Requested,OK,True,True,False
70521565,70521565,Tape Clip,Hellermanntyton - Germany,151-02056,151-02056,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
70096956,70096956,Eyelet Terminal 6.7Mm,Yel-Bl,7009-6956,,PSW,PPAP LEVEL 4,Common,OK,OK,OK,False,True,True
70521767,70521767,Tape Clip,Itw Fastener Products Gmbh,6953833801,6953833801,PSW,PPAP LEVEL 3,Common,OK,OK,OK,True,True,True
71143250,71143250,Terminal 375 L Male 9.5Mm Sealed/Unsealed,Yc Purchasing (Yazaki Corp),7114-3250,,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,False,True,False
71164026,71164026,Terminal 090 Ii Female 2.3Mm Sealed,Yel-Bl,7116-4026,,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,False,True,False
71532815,71532815,Sheet 13X250Mm Si,Federal Mogul,REFLEXWRAP 1466 13X250MM ALU,REFLEXWRAP 1466 13-ALU  ,PSW,PPAP LEVEL 1,Common,OK,OK,OK,True,True,True
70357230,70357230,Single Panel Grommet,Elastomer Solutions S.R.O.,495,,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,False,True,False
70392340,70392340,Shrink Tube 5.75Mm L:50Mm B,Te Connectivity Emea,2525596002,RBK-ILS-125-NR1-0-50MM,PSW,PPAP LEVEL 2,Common,OK,To Be Requested,OK,True,True,False
70392341,70392341,Shrink Tube 7.5Mm L:50Mm,Te Connectivity Emea,RBK-ILS-125-NR2-0-50MM,RBK-ILS-125-NR2-0-50MM,PSW,PPAP LEVEL 3,Common,OK,To Be Requested,OK,True,True,False
70392342,70392342,Shrink Tube 11Mm L:65Mm,Te Connectivity Emea,RBKILS125NR3065MM,0021036034,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
71532928,71532928,Sheet 16X200Mm Si,Federal Mogul Systems Protection Morocco Sarl Au,REFLEXWRAP 1466 16X200,1655001616M0200 ,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
71534942,71534942,Sheet 19X250Mm Si,Federal Mogul Systems Protection Morocco Sarl Au,REFLEXWRAP 1466 19X250MM,REFLEXWRAP 1466 19X250MM,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
70392350,70392350,Shrink Tube 5.72Mm L:50Mm B,Yna Cps,7039-2350,	7039-2430  ,PSW,PPAP LEVEL 4,Common,OK,To Be Requested,OK,True,True,False
71534943,71534943,Reflexwrap1466 13X685,Federal Mogul Systems Protection Morocco Sarl Au,REFLEXWRAP 1466 13X685MM,REFLEXWRAP 1466 13X685MM,PSW,PPAP LEVEL 2,Common,OK,OK,OK,True,True,True
71573777,71573777,Single Wire Seal Red,Woco Industrietechnik Gmbh (Bad Soden),024621AA,024621AA,PSW,PPAP LEVEL 2,Common,Does Not Exist,To Be Requested,OK,True,True,False
