Yazaki PN,BX726_BEV_JOB1+90_YMOK,BX726_BEV_JOB1+90_YRL,BX726_MCA_JOB1+90_YMOK,BX726_MCA_JOB1+90_YRL,BX726_GSR_TT_YMOK,BX726_GSR_TT_YRL,CX482_24MY_YBE,V710_B1_W2_HV_JOB1+90_YBE,V710_JOB1+90_YMO-K,V710_JOB1+90_YOT-G,V710_JOB1+90_YOT-K,V710_JOB1+90_YWTT,V710_B2_J74_JOB1+90_YMOK,V710_B2_J74_JOB1+90_YOT-G,V710_B2_J74_JOB1+90_YOT-K,V710_B2_J74_JOB1+90_YWTT,V710_HV_AWD_TT_YBE,V710_AWD_PP_YMOK,V710_AWD_TT_YOTG,V710_AWD_PP_YOTK,V710_AWD_PP_YWTT,FORD_V769_JOB1+180_HV_YRL,Item Description,Supplier Name,Supplier PN,Original Supplier Name,Original Supplier PN,Customer PN,Document Complete,IsCustomerDrawing,PSW Type,PSW Sub Type,Approved Date,PSW Date OK,PSW,Part Specification,Plant FAR,TDC Remarks,YPN Status,Handling Manual,Customer Engineering Approval,Promised Date,"IMDS STATUS
(Yes, No, N/A)",IMDS REMARKS,FAR Status,FAR Promised date,PPAP Details,BUHIN,R @R OK/NOK,Active Parts,YBE All Projects,YMO-K All Projects,YOT-G All Projects,YOT-K All Projects,YRL All Projects,YWTT All Projects,BX726 BEV,V769,BX726 MCA,BX726 GSR,V710 B1,CX482,V710 B2,V710 ICA AWD BEV,"Not 100% Approved
(Under Deviation)",Parts Under Deviation,part_id_raw,part_id_std,Approved Date_date,Approved Date_year,Approved Date_month,Approved Date_day,Approved Date_qtr,Approved Date_week,PSW Date OK_date,PSW Date OK_year,PSW Date OK_month,PSW Date OK_day,PSW Date OK_qtr,PSW Date OK_week,PSW_date,PSW_year,PSW_month,PSW_day,PSW_qtr,PSW_week,Promised Date_date,Promised Date_year,Promised Date_month,Promised Date_day,Promised Date_qtr,Promised Date_week,FAR Promised date_date,FAR Promised date_year,FAR Promised date_month,FAR Promised date_day,FAR Promised date_qtr,FAR Promised date_week
70392346,,,,,,,X,,D,,D,,D,,,,,,,,,,Shrink Tube 7.5Mm L:27Mm,Te Connectivity Emea,RBK-ILS-125-NR2-0-27MM,Te Connectivity,RBK-ILS-125-NR2-0-27MM,,OK,OK,PSW,PPAP LEVEL 2,2019-10-18 00:00:00,NOT OK,RBK-ILS-125-NR2-0-27MM,108-120003_Rev.A,,,Common,OK,,,Yes,,To Be Requested,,OK,P1,,X,X,,,,,,,,,,,X,,,,,70392346,70392346,2019-10-18,2019.0,10.0,18.0,4.0,42,,,,,,,,,,,,,,,,,,,,,,,,
70471664,,,,,,,,,D,,,,D,,,,,,,,,,Connector Clip,Yel-Bl,7047-1664,Ycc,7047-1664,,OK,OK,PSW,PPAP LEVEL 1,2016-08-30 00:00:00,NOT OK,,,,,Common,OK,,,Yes,,To Be Requested,,OK,P (M1a),,,,,,,,,,,,,,,,,,,70471664,70471664,2016-08-30,2016.0,8.0,30.0,3.0,35,,,,,,,,,,,,,,,,,,,,,,,,
70472656,,X,,D,,,,,X,X,,X,D,X,,X,,,,,X,,Tape Clip,Hellermanntyton - Germany,151-00650,Hellermann,151-00650,,OK,OK,PSW,PPAP LEVEL 1,2019-02-01 00:00:00,NOT OK,,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,X,X,,X,X,X,,,,X,,X,X,,,70472656,70472656,2019-02-01,2019.0,2.0,1.0,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,
70521059,,X,,X,,X,,,X,X,,X,D,X,,X,,X,,,X,,Tape Clip,Hellermanntyton - Germany,151-00932,Hellermann,151-00932,,OK,OK,PSW,PPAP LEVEL 1,2019-02-01 00:00:00,NOT OK,Hellermann Collective PSW - 62416,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,X,X,,X,X,X,,X,X,X,,X,X,,,70521059,70521059,2019-02-01,2019.0,2.0,1.0,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,
70521161,,,,,,,,,X,,,,D,,,,,,,,,,Tape Clip,A. Raymond Czech Republic,213369000,A. Raymond,213369000,,OK,OK,PSW,PPAP LEVEL 1,2019-02-18 00:00:00,NOT OK,213369000,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,X,,X,,,,,,,,,X,,,,,,70521161,70521161,2019-02-18,2019.0,2.0,18.0,1.0,8,,,,,,,,,,,,,,,,,,,,,,,,
70521491,,,,,,,,,D,,,,D,,,,,,,,,,Tape Clip,Hellermanntyton - Germany,151-01805,Hellermann,151-01805   ,,OK,OK,PSW,PPAP LEVEL 4,2019-12-10 00:00:00,NOT OK,151-01805,,,,Common,OK,,,Yes,,To Be Requested,,OK,P2,,,,,,,,,,,,,,,,,,,70521491,70521491,2019-12-10,2019.0,12.0,10.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,
70521565,,,,,,,,,D,,,,D,,,,,,,,,,Tape Clip,Hellermanntyton - Germany,151-02056,Hellermann,151-02056,,OK,OK,PSW,PPAP LEVEL 3,2020-01-27 00:00:00,NOT OK,151-02056,,,,Common,OK,,,Yes,,To Be Requested,,OK,P,,,,,,,,,,,,,,,,,,,70521565,70521565,2020-01-27,2020.0,1.0,27.0,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,
70096956,,,,,,,,,D,X,X,X,X,X,X,X,,,,X,X,,Eyelet Terminal 6.7Mm,Yel-Bl,7009-6956,Yna Cps,7009-6956,,OK,OK,PSW,PPAP LEVEL 4,2020-01-15 00:00:00,NOT OK,,,YOTK_113-2023,Original Supplier: Royal Die,Common,OK,,,Yes,,OK,,OK,P1,,X,,X,X,X,,X,,,,,X,,X,X,,,70096956,70096956,2020-01-15,2020.0,1.0,15.0,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,
70521767,,,,,,,,,D,,,,D,,,,,,,,,,Tape Clip,Itw Fastener Products Gmbh,6953833801,Itw,6953833801,JU5T-14E044-EA,OK,OK,PSW,PPAP LEVEL 3,2021-09-24 00:00:00,NOT OK,6953833801,,YBE_8768,,Common,OK,,,Yes,,OK,,OK,P,,,,,,,,,,,,,,,,,,,70521767,70521767,2021-09-24,2021.0,9.0,24.0,3.0,38,,,,,,,,,,,,,,,,,,,,,,,,
71143250,,X,,D,,X,,,D,,,,D,,,,,,,,,,Terminal 375 L Male 9.5Mm Sealed/Unsealed,Yc Purchasing (Yazaki Corp),7114-3250,Yc Purchasing,7114-3250,,OK,OK,PSW,PPAP LEVEL 2,2018-10-19 00:00:00,NOT OK,,,,,Common,OK,,,Yes,,To Be Requested,,OK,P (M1a),,X,,,,,X,,X,,,X,,,,,,,71143250,71143250,2018-10-19,2018.0,10.0,19.0,4.0,42,,,,,,,,,,,,,,,,,,,,,,,,
